ROW;COL;TUBEx
1;32;TUBE.16
1;34;TUBE.17
1;36;TUBE.18
1;38;TUBE.19
1;40;TUBE.20
1;42;TUBE.21
1;44;TUBE.22
1;46;TUBE.23
1;48;TUBE.24
1;50;TUBE.25
1;52;TUBE.26
1;54;TUBE.27
1;56;TUBE.28
1;58;TUBE.29
2;31;TUBE.102
2;33;TUBE.103
2;35;TUBE.104
2;37;TUBE.105
2;39;TUBE.106
2;41;TUBE.107
2;43;TUBE.108
2;45;TUBE.109
2;47;TUBE.110
2;49;TUBE.111
2;51;TUBE.112
2;53;TUBE.113
2;55;TUBE.114
2;57;TUBE.115
3;30;TUBE.189
3;32;TUBE.190
3;34;TUBE.191
3;36;TUBE.192
3;38;TUBE.193
3;40;TUBE.194
3;42;TUBE.195
3;44;TUBE.196
3;46;TUBE.197
3;48;TUBE.198
3;50;TUBE.199
3;52;TUBE.200
3;54;TUBE.201
3;56;TUBE.202
3;58;TUBE.203
4;31;TUBE.275
4;33;TUBE.276
4;35;TUBE.277
4;37;TUBE.278
4;39;TUBE.279
4;41;TUBE.280
4;43;TUBE.281
4;45;TUBE.282
4;47;TUBE.283
4;49;TUBE.284
4;51;TUBE.285
4;53;TUBE.286
4;55;TUBE.287
4;57;TUBE.288
5;30;TUBE.361
5;32;TUBE.362
5;34;TUBE.363
5;36;TUBE.364
5;38;TUBE.365
5;40;TUBE.366
5;42;TUBE.367
5;44;TUBE.368
5;46;TUBE.369
5;48;TUBE.370
5;50;TUBE.371
5;52;TUBE.372
5;54;TUBE.373
5;56;TUBE.374
5;58;TUBE.375
6;31;TUBE.447
6;33;TUBE.448
6;35;TUBE.449
6;37;TUBE.450
6;39;TUBE.451
6;41;TUBE.452
6;43;TUBE.453
6;45;TUBE.454
6;47;TUBE.455
6;49;TUBE.456
6;51;TUBE.457
6;53;TUBE.458
6;55;TUBE.459
6;57;TUBE.460
7;30;TUBE.532
7;32;TUBE.533
7;34;TUBE.534
7;36;TUBE.535
7;38;TUBE.536
7;40;TUBE.537
7;42;TUBE.538
7;44;TUBE.539
7;46;TUBE.540
7;48;TUBE.541
7;50;TUBE.542
7;52;TUBE.543
7;54;TUBE.544
7;56;TUBE.545
7;58;TUBE.546
8;31;TUBE.616
8;33;TUBE.617
8;35;TUBE.618
8;37;TUBE.619
8;39;TUBE.620
8;41;TUBE.621
8;43;TUBE.622
8;45;TUBE.623
8;47;TUBE.624
8;49;TUBE.625
8;51;TUBE.626
8;53;TUBE.627
8;55;TUBE.628
8;57;TUBE.629
9;32;TUBE.700
9;34;TUBE.701
9;36;TUBE.702
9;38;TUBE.703
9;40;TUBE.704
9;42;TUBE.705
9;44;TUBE.706
9;46;TUBE.707
9;48;TUBE.708
9;50;TUBE.709
9;52;TUBE.710
9;54;TUBE.711
9;56;TUBE.712
10;33;TUBE.782
10;35;TUBE.783
10;37;TUBE.784
10;39;TUBE.785
10;41;TUBE.786
10;43;TUBE.787
10;45;TUBE.788
10;47;TUBE.789
10;49;TUBE.790
10;51;TUBE.791
10;53;TUBE.792
10;55;TUBE.793
11;34;TUBE.864
11;36;TUBE.865
11;38;TUBE.866
11;40;TUBE.867
11;42;TUBE.868
11;44;TUBE.869
11;46;TUBE.870
11;48;TUBE.871
11;50;TUBE.872
11;52;TUBE.873
11;54;TUBE.874
12;35;TUBE.945
12;37;TUBE.946
12;39;TUBE.947
12;41;TUBE.948
12;43;TUBE.949
12;45;TUBE.950
12;47;TUBE.951
12;49;TUBE.952
12;51;TUBE.953
12;53;TUBE.954
13;36;TUBE.1027
13;38;TUBE.1028
13;40;TUBE.1029
13;42;TUBE.1030
13;44;TUBE.1031
13;46;TUBE.1032
13;48;TUBE.1033
13;50;TUBE.1034
13;52;TUBE.1035
28;87;TUBE.2140
28;88;TUBE.2141
29;86;TUBE.2203
29;89;TUBE.2204
30;85;TUBE.2263
30;87;TUBE.2264
30;88;TUBE.2265
30;90;TUBE.2266
31;84;TUBE.2321
31;86;TUBE.2322
31;89;TUBE.2323
31;91;TUBE.2324
32;83;TUBE.2365
32;85;TUBE.2366
32;87;TUBE.2367
32;88;TUBE.2368
32;90;TUBE.2369
32;92;TUBE.2370
