ROW;COL;TUBEx
1;119;TUBE.59
1;121;TUBE.60
1;123;TUBE.61
1;125;TUBE.62
1;127;TUBE.63
1;129;TUBE.64
1;131;TUBE.65
1;133;TUBE.66
1;135;TUBE.67
1;137;TUBE.68
1;139;TUBE.69
1;141;TUBE.70
1;143;TUBE.71
1;145;TUBE.72
2;118;TUBE.146
2;120;TUBE.147
2;122;TUBE.148
2;124;TUBE.149
2;126;TUBE.150
2;128;TUBE.151
2;130;TUBE.152
2;132;TUBE.153
2;134;TUBE.154
2;136;TUBE.155
2;138;TUBE.156
2;140;TUBE.157
2;142;TUBE.158
2;144;TUBE.159
3;117;TUBE.232
3;119;TUBE.233
3;121;TUBE.234
3;123;TUBE.235
3;125;TUBE.236
3;127;TUBE.237
3;129;TUBE.238
3;131;TUBE.239
3;133;TUBE.240
3;135;TUBE.241
3;137;TUBE.242
3;139;TUBE.243
3;141;TUBE.244
3;143;TUBE.245
3;145;TUBE.246
4;118;TUBE.319
4;120;TUBE.320
4;122;TUBE.321
4;124;TUBE.322
4;126;TUBE.323
4;128;TUBE.324
4;130;TUBE.325
4;132;TUBE.326
4;134;TUBE.327
4;136;TUBE.328
4;138;TUBE.329
4;140;TUBE.330
4;142;TUBE.331
4;144;TUBE.332
5;117;TUBE.404
5;119;TUBE.405
5;121;TUBE.406
5;123;TUBE.407
5;125;TUBE.408
5;127;TUBE.409
5;129;TUBE.410
5;131;TUBE.411
5;133;TUBE.412
5;135;TUBE.413
5;137;TUBE.414
5;139;TUBE.415
5;141;TUBE.416
5;143;TUBE.417
5;145;TUBE.418
6;118;TUBE.491
6;120;TUBE.492
6;122;TUBE.493
6;124;TUBE.494
6;126;TUBE.495
6;128;TUBE.496
6;130;TUBE.497
6;132;TUBE.498
6;134;TUBE.499
6;136;TUBE.500
6;138;TUBE.501
6;140;TUBE.502
6;142;TUBE.503
6;144;TUBE.504
7;117;TUBE.575
7;119;TUBE.576
7;121;TUBE.577
7;123;TUBE.578
7;125;TUBE.579
7;127;TUBE.580
7;129;TUBE.581
7;131;TUBE.582
7;133;TUBE.583
7;135;TUBE.584
7;137;TUBE.585
7;139;TUBE.586
7;141;TUBE.587
7;143;TUBE.588
7;145;TUBE.589
8;120;TUBE.661
8;122;TUBE.662
8;124;TUBE.663
8;126;TUBE.664
8;128;TUBE.665
8;130;TUBE.666
8;132;TUBE.667
8;134;TUBE.668
8;136;TUBE.669
8;138;TUBE.670
8;140;TUBE.671
8;142;TUBE.672
8;144;TUBE.673
9;119;TUBE.743
9;121;TUBE.744
9;123;TUBE.745
9;125;TUBE.746
9;127;TUBE.747
9;129;TUBE.748
9;131;TUBE.749
9;133;TUBE.750
9;135;TUBE.751
9;137;TUBE.752
9;139;TUBE.753
9;141;TUBE.754
9;143;TUBE.755
10;120;TUBE.826
10;122;TUBE.827
10;124;TUBE.828
10;126;TUBE.829
10;128;TUBE.830
10;130;TUBE.831
10;132;TUBE.832
10;134;TUBE.833
10;136;TUBE.834
10;138;TUBE.835
10;140;TUBE.836
10;142;TUBE.837
11;121;TUBE.907
11;123;TUBE.908
11;125;TUBE.909
11;127;TUBE.910
11;129;TUBE.911
11;131;TUBE.912
11;133;TUBE.913
11;135;TUBE.914
11;137;TUBE.915
11;139;TUBE.916
11;141;TUBE.917
12;122;TUBE.989
12;124;TUBE.990
12;126;TUBE.991
12;128;TUBE.992
12;130;TUBE.993
12;132;TUBE.994
12;134;TUBE.995
12;136;TUBE.996
12;138;TUBE.997
12;140;TUBE.998
13;123;TUBE.1070
13;125;TUBE.1071
13;127;TUBE.1072
13;129;TUBE.1073
13;131;TUBE.1074
13;133;TUBE.1075
13;135;TUBE.1076
13;137;TUBE.1077
13;139;TUBE.1078
