ROW;COL;TUBEx
1;123;TUBE.61
1;125;TUBE.62
1;127;TUBE.63
1;129;TUBE.64
1;131;TUBE.65
1;133;TUBE.66
1;135;TUBE.67
1;137;TUBE.68
1;139;TUBE.69
1;141;TUBE.70
2;122;TUBE.148
2;124;TUBE.149
2;126;TUBE.150
2;128;TUBE.151
2;130;TUBE.152
2;132;TUBE.153
2;134;TUBE.154
2;136;TUBE.155
2;138;TUBE.156
2;140;TUBE.157
3;121;TUBE.234
3;123;TUBE.235
3;125;TUBE.236
3;127;TUBE.237
3;129;TUBE.238
3;131;TUBE.239
3;133;TUBE.240
3;135;TUBE.241
3;137;TUBE.242
3;139;TUBE.243
3;141;TUBE.244
4;122;TUBE.321
4;124;TUBE.322
4;126;TUBE.323
4;128;TUBE.324
4;130;TUBE.325
4;132;TUBE.326
4;134;TUBE.327
4;136;TUBE.328
4;138;TUBE.329
4;140;TUBE.330
5;121;TUBE.406
5;123;TUBE.407
5;125;TUBE.408
5;127;TUBE.409
5;129;TUBE.410
5;131;TUBE.411
5;133;TUBE.412
5;135;TUBE.413
5;137;TUBE.414
5;139;TUBE.415
5;141;TUBE.416
