Dato;Valor;Unidad
TUBE_OD;0.625; in
Y_PITCH;0.6629; in
X_PITCH;0.6629; in
CONFIGURATION;TRIANGLE_EVEN;none
CALLE_ANCHA;9.0; in
CALLE_ANGOSTA;1.3258; in
MAX_NUMBER_ROWS;11; units
MAX_NUMBER_COLS;55; units
ANCHO_X_MAX;39.812; in
ANCHO_X_MIN;-2.689; in
ALTO_Y_MAX;16.610; in
ALTO_Y_MIN;-25.610; in
