ROW;COL;TUBEx
A;1;TUBE.1
A;3;TUBE.2
A;5;TUBE.3
A;7;TUBE.4
A;9;TUBE.5
A;11;TUBE.6
A;13;TUBE.7
A;15;TUBE.8
A;17;TUBE.9
A;19;TUBE.10
A;20;TUBE.101
B;21;TUBE.110
B;18;TUBE.19
B;16;TUBE.18
B;14;TUBE.17
B;12;TUBE.16
B;10;TUBE.15
B;8;TUBE.14
B;6;TUBE.13
B;4;TUBE.12
B;2;TUBE.11
C;1;TUBE.20
C;3;TUBE.21
C;5;TUBE.22
C;7;TUBE.23
C;9;TUBE.24
C;11;TUBE.25
C;13;TUBE.26
C;15;TUBE.27
C;17;TUBE.28
C;19;TUBE.29
C;20;TUBE.118
D;21;TUBE.127
D;18;TUBE.38
D;16;TUBE.37
D;14;TUBE.36
D;12;TUBE.35
D;10;TUBE.34
D;8;TUBE.33
D;6;TUBE.32
D;4;TUBE.31
D;2;TUBE.30
E;1;TUBE.39
E;3;TUBE.40
E;5;TUBE.41
E;7;TUBE.42
E;9;TUBE.43
E;11;TUBE.44
E;13;TUBE.45
E;15;TUBE.46
E;17;TUBE.47
E;19;TUBE.48
E;20;TUBE.135
F;21;TUBE.144
F;18;TUBE.57
F;16;TUBE.56
F;14;TUBE.55
F;12;TUBE.54
F;10;TUBE.53
F;8;TUBE.52
F;6;TUBE.51
F;4;TUBE.50
F;2;TUBE.49
G;3;TUBE.58
G;5;TUBE.59
G;7;TUBE.60
G;9;TUBE.61
G;11;TUBE.62
G;13;TUBE.63
G;15;TUBE.64
G;17;TUBE.65
G;19;TUBE.66
G;20;TUBE.152
H;21;TUBE.161
H;18;TUBE.75
H;16;TUBE.74
H;14;TUBE.73
H;12;TUBE.72
H;10;TUBE.71
H;8;TUBE.70
H;6;TUBE.69
H;4;TUBE.68
H;2;TUBE.67
I;3;TUBE.76
I;5;TUBE.77
I;7;TUBE.78
I;9;TUBE.79
I;11;TUBE.80
I;13;TUBE.81
I;15;TUBE.82
I;17;TUBE.83
I;19;TUBE.84
I;20;TUBE.169
J;21;TUBE.178
J;18;TUBE.92
J;16;TUBE.91
J;14;TUBE.90
J;12;TUBE.89
J;10;TUBE.88
J;8;TUBE.87
J;6;TUBE.86
J;4;TUBE.85
K;5;TUBE.93
K;7;TUBE.94
K;9;TUBE.95
K;11;TUBE.96
K;13;TUBE.97
K;15;TUBE.98
K;17;TUBE.99
K;19;TUBE.100
K;20;TUBE.186
A;43;TUBE.198
A;45;TUBE.199
A;47;TUBE.200
A;49;TUBE.201
A;51;TUBE.202
A;53;TUBE.203
A;55;TUBE.204
B;54;TUBE.213
B;52;TUBE.212
B;50;TUBE.211
B;48;TUBE.210
B;46;TUBE.209
B;44;TUBE.208
B;42;TUBE.207
C;43;TUBE.217
C;45;TUBE.218
C;47;TUBE.219
C;49;TUBE.220
C;51;TUBE.221
C;53;TUBE.222
C;55;TUBE.223
D;54;TUBE.232
D;52;TUBE.231
D;50;TUBE.230
D;48;TUBE.229
D;46;TUBE.228
D;44;TUBE.227
D;42;TUBE.226
E;43;TUBE.236
E;45;TUBE.237
E;47;TUBE.238
E;49;TUBE.239
E;51;TUBE.240
E;53;TUBE.241
E;55;TUBE.242
F;54;TUBE.251
F;52;TUBE.250
F;50;TUBE.249
F;48;TUBE.248
F;46;TUBE.247
F;44;TUBE.246
F;42;TUBE.245
G;43;TUBE.255
G;45;TUBE.256
G;47;TUBE.257
G;49;TUBE.258
G;51;TUBE.259
G;53;TUBE.260
H;54;TUBE.269
H;52;TUBE.268
H;50;TUBE.267
H;48;TUBE.266
H;46;TUBE.265
H;44;TUBE.264
H;42;TUBE.263
I;43;TUBE.273
I;45;TUBE.274
I;47;TUBE.275
I;49;TUBE.276
I;51;TUBE.277
I;53;TUBE.278
J;52;TUBE.286
J;50;TUBE.285
J;48;TUBE.284
J;46;TUBE.283
J;44;TUBE.282
J;42;TUBE.281
K;43;TUBE.290
K;45;TUBE.291
K;47;TUBE.292
K;49;TUBE.293
K;51;TUBE.294
