ROW;COL;TUBEx
K;24;TUBE.188
K;26;TUBE.189
K;28;TUBE.190
K;30;TUBE.191
K;32;TUBE.192
K;34;TUBE.193
K;36;TUBE.194
K;37;TUBE.287
K;39;TUBE.288
K;41;TUBE.289
J;40;TUBE.280
J;38;TUBE.279
J;35;TUBE.185
J;33;TUBE.184
J;31;TUBE.183
J;29;TUBE.182
J;27;TUBE.181
J;25;TUBE.180
I;24;TUBE.171
I;26;TUBE.172
I;28;TUBE.173
I;30;TUBE.174
I;32;TUBE.175
I;34;TUBE.176
I;36;TUBE.177
I;37;TUBE.270
I;39;TUBE.271
I;41;TUBE.272
H;40;TUBE.262
H;38;TUBE.261
H;35;TUBE.168
H;33;TUBE.167
H;31;TUBE.166
H;29;TUBE.165
H;27;TUBE.164
H;25;TUBE.163
G;24;TUBE.154
G;26;TUBE.155
G;28;TUBE.156
G;30;TUBE.157
G;32;TUBE.158
G;34;TUBE.159
G;36;TUBE.160
G;37;TUBE.252
G;39;TUBE.253
G;41;TUBE.254
F;40;TUBE.244
F;38;TUBE.243
F;35;TUBE.151
F;33;TUBE.150
F;31;TUBE.149
F;29;TUBE.148
F;27;TUBE.147
F;25;TUBE.146
E;24;TUBE.137
E;26;TUBE.138
E;28;TUBE.139
E;30;TUBE.140
E;32;TUBE.141
E;34;TUBE.142
E;36;TUBE.143
E;37;TUBE.233
E;39;TUBE.234
E;41;TUBE.235
D;40;TUBE.225
D;38;TUBE.224
D;35;TUBE.134
D;33;TUBE.133
D;31;TUBE.132
D;29;TUBE.131
D;27;TUBE.130
D;25;TUBE.129
C;24;TUBE.120
C;26;TUBE.121
C;28;TUBE.122
C;30;TUBE.123
C;32;TUBE.124
C;34;TUBE.125
C;36;TUBE.126
C;37;TUBE.214
C;39;TUBE.215
C;41;TUBE.216
B;40;TUBE.206
B;38;TUBE.205
B;35;TUBE.117
B;33;TUBE.116
B;31;TUBE.115
B;29;TUBE.114
B;27;TUBE.113
B;25;TUBE.112
A;24;TUBE.103
A;26;TUBE.104
A;28;TUBE.105
A;30;TUBE.106
A;32;TUBE.107
A;34;TUBE.108
A;36;TUBE.109
A;37;TUBE.195
A;39;TUBE.196
A;41;TUBE.197
I;3;TUBE.76
H;2;TUBE.67
G;3;TUBE.58
F;2;TUBE.49
E;1;TUBE.39
E;3;TUBE.40
D;2;TUBE.30
C;1;TUBE.20
C;3;TUBE.21
B;2;TUBE.11
A;1;TUBE.1
A;3;TUBE.3
