ROW;COL;TUBEx
E;43;TUBE.236
E;45;TUBE.237
E;47;TUBE.238
E;49;TUBE.239
E;51;TUBE.240
E;53;TUBE.241
E;55;TUBE.242
D;54;TUBE.232
D;52;TUBE.231
D;50;TUBE.230
D;48;TUBE.229
D;46;TUBE.228
D;44;TUBE.227
D;42;TUBE.226
C;43;TUBE.217
C;45;TUBE.218
C;47;TUBE.219
C;49;TUBE.220
C;51;TUBE.221
C;53;TUBE.222
C;55;TUBE.223
B;54;TUBE.213
B;52;TUBE.212
B;50;TUBE.211
B;48;TUBE.210
B;46;TUBE.209
B;44;TUBE.208
B;42;TUBE.207
A;43;TUBE.198
A;45;TUBE.199
A;47;TUBE.200
A;49;TUBE.201
A;51;TUBE.202
A;53;TUBE.203
A;55;TUBE.204
E;5;TUBE.41
E;7;TUBE.42
E;9;TUBE.43
E;11;TUBE.44
E;13;TUBE.45
E;15;TUBE.46
E;17;TUBE.47
E;19;TUBE.48
E;20;TUBE.135
E;22;TUBE.136
D;23;TUBE.128
D;21;TUBE.127
D;18;TUBE.38
D;16;TUBE.37
D;14;TUBE.36
D;12;TUBE.35
D;10;TUBE.34
D;8;TUBE.33
D;6;TUBE.32
D;4;TUBE.31
C;5;TUBE.22
C;7;TUBE.23
C;9;TUBE.24
C;11;TUBE.25
C;13;TUBE.26
C;15;TUBE.27
C;17;TUBE.28
C;19;TUBE.29
C;20;TUBE.118
C;22;TUBE.119
B;23;TUBE.111
B;21;TUBE.110
B;18;TUBE.19
B;16;TUBE.18
B;14;TUBE.17
B;12;TUBE.16
B;10;TUBE.15
B;8;TUBE.14
B;6;TUBE.13
B;4;TUBE.12
A;5;TUBE.3
A;7;TUBE.4
A;9;TUBE.5
A;11;TUBE.6
A;13;TUBE.7
A;15;TUBE.8
A;17;TUBE.9
A;19;TUBE.10
A;20;TUBE.101
A;22;TUBE.102
