ROW;COL;TUBE
56;1;TUBE.28
58;1;TUBE.29
60;1;TUBE.30
62;1;TUBE.31
64;1;TUBE.32
57;2;TUBE.115
59;2;TUBE.116
61;2;TUBE.117
63;2;TUBE.118
56;3;TUBE.202
58;3;TUBE.203
60;3;TUBE.204
62;3;TUBE.205
64;3;TUBE.206
59;4;TUBE.288
59;4;TUBE.289
61;4;TUBE.290
63;4;TUBE.291
56;5;TUBE.374
58;5;TUBE.375
60;5;TUBE.376
62;5;TUBE.377
64;5;TUBE.378
57;6;TUBE.460
59;6;TUBE.461
61;6;TUBE.462
63;6;TUBE.463
56;7;TUBE.545
58;7;TUBE.546
60;7;TUBE.547
62;7;TUBE.548
64;7;TUBE.549
57;8;TUBE.629
59;8;TUBE.630
61;8;TUBE.631
63;8;TUBE.632
56;9;TUBE.712
58;9;TUBE.713
60;9;TUBE.714
62;9;TUBE.715
64;9;TUBE.716
57;10;TUBE.794
59;10;TUBE.795
61;10;TUBE.796
63;10;TUBE.797
56;11;TUBE.875
58;11;TUBE.876
60;11;TUBE.877
62;11;TUBE.878
64;11;TUBE.879
57;12;TUBE.956
59;12;TUBE.957
61;12;TUBE.958
63;12;TUBE.959
