ROW;COL;TUBE
2;1;TUBE.1
4;1;TUBE.2
6;1;TUBE.3
8;1;TUBE.4
10;1;TUBE.5
12;1;TUBE.6
14;1;TUBE.7
16;1;TUBE.8
18;1;TUBE.9
20;1;TUBE.10
22;1;TUBE.11
24;1;TUBE.12
26;1;TUBE.13
28;1;TUBE.14
30;1;TUBE.15
32;1;TUBE.16
34;1;TUBE.17
36;1;TUBE.18
38;1;TUBE.19
40;1;TUBE.20
42;1;TUBE.21
44;1;TUBE.22
46;1;TUBE.23
45;2;TUBE.109
46;3;TUBE.197
45;4;TUBE.282
44;5;TUBE.368
45;6;TUBE.454
46;7;TUBE.540
45;8;TUBE.623
47;10;TUBE.789
50;11;TUBE.872
51;12;TUBE.953
54;13;TUBE.1036
56;13;TUBE.1037
57;14;TUBE.1117
59;14;TUBE.1118
61;14;TUBE.1119
63;14;TUBE.1120
