ROW;COL;TUBEx
1;91;TUBE.45
1;93;TUBE.46
1;95;TUBE.47
1;97;TUBE.48
1;99;TUBE.49
1;101;TUBE.50
1;103;TUBE.51
1;105;TUBE.52
1;107;TUBE.53
1;109;TUBE.54
1;111;TUBE.55
1;113;TUBE.56
1;115;TUBE.57
1;117;TUBE.58
1;119;TUBE.59
1;143;TUBE.71
1;145;TUBE.72
1;147;TUBE.73
1;149;TUBE.74
1;151;TUBE.75
1;153;TUBE.76
1;155;TUBE.77
1;157;TUBE.78
1;159;TUBE.79
1;161;TUBE.80
1;163;TUBE.81
1;165;TUBE.82
1;167;TUBE.83
1;169;TUBE.84
1;171;TUBE.85
1;173;TUBE.86
2;88;TUBE.131
2;90;TUBE.132
2;92;TUBE.133
2;94;TUBE.134
2;96;TUBE.135
2;98;TUBE.136
2;100;TUBE.137
2;102;TUBE.138
2;104;TUBE.139
2;106;TUBE.140
2;108;TUBE.141
2;110;TUBE.142
2;112;TUBE.143
2;114;TUBE.144
2;116;TUBE.145
2;118;TUBE.146
2;120;TUBE.147
2;142;TUBE.158
2;144;TUBE.159
2;146;TUBE.160
2;148;TUBE.161
2;150;TUBE.162
2;152;TUBE.163
2;154;TUBE.164
2;156;TUBE.165
2;158;TUBE.166
2;160;TUBE.167
2;162;TUBE.168
2;164;TUBE.169
2;166;TUBE.170
2;168;TUBE.171
2;170;TUBE.172
2;172;TUBE.173
2;174;TUBE.174
3;89;TUBE.218
3;91;TUBE.219
3;93;TUBE.220
3;95;TUBE.221
3;97;TUBE.222
3;99;TUBE.223
3;101;TUBE.224
3;103;TUBE.225
3;105;TUBE.226
3;107;TUBE.227
3;109;TUBE.228
3;111;TUBE.229
3;113;TUBE.230
3;115;TUBE.231
3;117;TUBE.232
3;119;TUBE.233
3;143;TUBE.245
3;145;TUBE.246
3;147;TUBE.247
3;149;TUBE.248
3;151;TUBE.249
3;153;TUBE.250
3;155;TUBE.251
3;157;TUBE.252
3;159;TUBE.253
3;161;TUBE.254
3;163;TUBE.255
3;165;TUBE.256
3;167;TUBE.257
3;169;TUBE.258
3;171;TUBE.259
3;173;TUBE.260
4;88;TUBE.304
4;90;TUBE.305
4;92;TUBE.306
4;94;TUBE.307
4;96;TUBE.308
4;98;TUBE.309
4;100;TUBE.310
4;102;TUBE.311
4;104;TUBE.312
4;106;TUBE.313
4;108;TUBE.314
4;110;TUBE.315
4;112;TUBE.316
4;114;TUBE.317
4;116;TUBE.318
4;118;TUBE.319
4;120;TUBE.320
4;142;TUBE.331
4;144;TUBE.332
4;146;TUBE.333
4;148;TUBE.334
4;150;TUBE.335
4;152;TUBE.336
4;154;TUBE.337
4;156;TUBE.338
4;158;TUBE.339
4;160;TUBE.340
4;162;TUBE.341
4;164;TUBE.342
4;166;TUBE.343
4;168;TUBE.344
4;170;TUBE.345
4;172;TUBE.346
5;89;TUBE.390
5;91;TUBE.391
5;93;TUBE.392
5;95;TUBE.393
5;97;TUBE.394
5;99;TUBE.395
5;101;TUBE.396
5;103;TUBE.397
5;105;TUBE.398
5;107;TUBE.399
5;109;TUBE.400
5;111;TUBE.401
5;113;TUBE.402
5;115;TUBE.403
5;117;TUBE.404
5;119;TUBE.405
5;143;TUBE.417
5;145;TUBE.418
5;147;TUBE.419
5;149;TUBE.420
5;151;TUBE.421
5;153;TUBE.422
5;155;TUBE.423
5;157;TUBE.424
5;159;TUBE.425
5;161;TUBE.426
5;163;TUBE.427
5;165;TUBE.428
5;167;TUBE.429
5;169;TUBE.430
5;171;TUBE.431
5;173;TUBE.432
